trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
128,False,"{'a': 0.13812583384960414, 'e': 0.2762516676992083}",20,5,-5.606813524718174,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.1367445755111081, 'e': 0.2734891510222162}",20,8,9.368104302700987,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.13537712975599703, 'e': 0.27075425951199406}",25,0,-48.73365590744695,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
131,False,"{'a': 0.13402335845843705, 'e': 0.2680467169168741}",25,18,12.409984864784997,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.13268312487385267, 'e': 0.26536624974770534}",25,9,22.504492129236098,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.13135629362511414, 'e': 0.2627125872502283}",25,16,18.173341830300505,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.13004273068886302, 'e': 0.26008546137772603}",20,0,19.052861149209267,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.12874230338197437, 'e': 0.25748460676394874}",30,15,4.873546234589034,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.12745488034815464, 'e': 0.2549097606963093}",25,15,-1.7459249004556785,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.1261803315446731, 'e': 0.2523606630893462}",20,0,0.574737373931804,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.12491852822922635, 'e': 0.2498370564584527}",25,8,-41.99174327164038,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
139,False,"{'a': 0.12366934294693409, 'e': 0.24733868589386818}",25,12,15.898862276922756,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.12243264951746474, 'e': 0.24486529903492948}",20,10,19.881355174464883,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1212083230222901, 'e': 0.2424166460445802}",20,13,12.54448182581716,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1199962397920672, 'e': 0.2399924795841344}",20,0,-12.950444004157426,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.11879627739414651, 'e': 0.23759255478829303}",25,0,-71.55330889760032,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
144,False,"{'a': 0.11760831462020506, 'e': 0.23521662924041012}",35,9,-31.594142229995477,"{0: 21, 1: 1, 2: 2, 3: 2, 4: 0}",1
145,False,"{'a': 0.116432231474003, 'e': 0.232864462948006}",20,0,-65.09081051333392,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
146,False,"{'a': 0.11526790915926297, 'e': 0.23053581831852593}",20,0,2.2272996802451477,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.11411523006767034, 'e': 0.22823046013534068}",20,9,-47.96455924701098,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.11297407776699364, 'e': 0.22594815553398728}",30,14,12.205821142338486,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.1118443369893237, 'e': 0.2236886739786474}",20,14,-2.1511358636732707,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.11072589361943046, 'e': 0.22145178723886091}",25,6,8.994820235501885,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.10961863468323615, 'e': 0.2192372693664723}",20,14,6.050972805008266,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.10852244833640379, 'e': 0.21704489667280757}",35,17,34.42373413346561,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.10743722385303975, 'e': 0.2148744477060795}",20,11,-40.352369327215605,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
